"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"EIF4G3",2848.66057939272,0.949094969975538,0.374849686668352,2.53193480941935,0.0113435078726802,0.0453899665810497,"EIF4G3"
"EIF5",2831.85457029674,0.848180974430668,0.328394344075972,2.58281237095376,0.00979986028500599,0.040716693940974,"EIF5"
"EIF5A",826.637908443198,-1.91130253198386,0.496125097411897,-3.85246088527758,0.000116936660581978,0.00123525104247204,"EIF5A"
"EIF5B",1784.72515101856,-1.39047180907922,0.426754624553973,-3.25824661076019,0.00112102940074363,0.00750829869715392,"EIF5B"
"ELAVL1",599.040995172388,-0.997570819945413,0.334118509791171,-2.98567960382952,0.00282948926862824,0.0155379706715578,"ELAVL1"
"ELF1",1927.77559342905,1.35678622835742,0.305143186099767,4.44639202237934,8.73245283874425e-06,0.000147806771775655,"ELF1"
"ELF2",1686.72618026304,0.999362006598963,0.240767212946855,4.15073960597598,3.31402630260151e-05,0.000440228983661369,"ELF2"
"ELFN2",35.9462457787333,-3.67136214981373,0.902745320196004,-4.06688582890311,4.76455709559135e-05,0.000594868528046311,"ELFN2"
"ELK2AP",11.6956190533407,-7.55423001635981,2.01695080621488,-3.74537147514098,0.00018012704549326,0.00174941702878232,"ELK2AP"
"ELL2",1942.37086777952,2.22305046849263,0.6192687427114,3.5897992505794,0.000330932723943912,0.00285903133472967,"ELL2"
"ELL3",38.2149424907333,-7.06452955814284,1.37650933523667,-5.13220606450024,2.86365727001711e-07,7.90837428073006e-06,"ELL3"
"ELMO1",2768.61171125991,1.2556540154392,0.485361152975729,2.58705091608762,0.00968012869827387,0.040336904099244,"ELMO1"
"ELMO3",46.7686514068776,-2.34890897352811,0.932387276813331,-2.51924176996076,0.0117607871373656,0.0466477689938201,"ELMO3"
"ELMOD2",534.616387691025,1.27440189021764,0.315349119706732,4.04124131186037,5.3169011236903e-05,0.000653195881116826,"ELMOD2"
"ELN",1864.91227359912,-1.56881344610274,0.576489277601839,-2.72132285378995,0.00650212238179809,0.0295657510081351,"ELN"
"ELOA2",51.2746054258585,-2.39152630709162,0.918484770847525,-2.60377350065898,0.00922036683306427,0.0388891627403941,"ELOA2"
"ELOB",524.596047065786,-2.35395335366153,0.585445051109309,-4.02079298339139,5.80025608130784e-05,0.000700917006092103,"ELOB"
"ELOVL5",1471.95192059384,1.61636202065927,0.308192296322714,5.24465419786727,1.56575710654983e-07,4.65964641007417e-06,"ELOVL5"
"ELP3",659.785297368045,0.622490534758888,0.226542873173942,2.74778246623955,0.00599998022323736,0.0276929642757245,"ELP3"
"ELP4",734.836811463298,1.22313361635517,0.315023210147364,3.88267777406943,0.000103312433531053,0.0011165022288215,"ELP4"
"ELP5",139.961511245441,-3.47789478426551,0.659731173596696,-5.27168477624736,1.35177102038207e-07,4.10868328893265e-06,"ELP5"
"EMB",2680.70194677306,1.53498428562718,0.428782345217721,3.57986820760489,0.000343767542773195,0.00294685341158845,"EMB"
"EMC10",859.494578819287,-1.55397048212145,0.31850365417651,-4.87897222447647,1.06640078938064e-06,2.41076704529031e-05,"EMC10"
"EMD",111.606683425672,-4.18939463196072,0.782813136152265,-5.35171733646769,8.71234160371297e-08,2.81092846660895e-06,"EMD"
"EME2",462.581997015679,-2.38300525766602,0.29277300343607,-8.13942962533556,3.97144360706693e-16,1.02839758547153e-13,"EME2"
"EMILIN1",956.497816448829,-3.66437652341916,0.50543793699093,-7.24990400450474,4.1706711997221e-13,5.4352296111934e-11,"EMILIN1"
"EML3",402.898213568969,-2.90644771518379,0.613198892716689,-4.73981239970476,2.13916184327899e-06,4.42915347799997e-05,"EML3"
"EML4",1591.9045260888,2.57143529590591,0.643916366478789,3.99343055988408,6.51241569120452e-05,0.000770629415233988,"EML4"
"EMSY",600.803767841551,1.08642449078152,0.34963800385311,3.10728375865555,0.00188815065242687,0.0113328825583201,"EMSY"
"EMX2",287.447263998305,-2.83764459020576,0.556255751856695,-5.10133078306902,3.3727349478574e-07,9.02670632554749e-06,"EMX2"
"ENDOG",42.97243399021,-2.97283090567752,0.698497692702158,-4.2560353981658,2.08083776295555e-05,0.00030013834735703,"ENDOG"
"ENDOV",346.14953841074,-1.35827137024323,0.23052949907894,-5.89196339587812,3.81633725754626e-09,1.91672414554697e-07,"ENDOV"
"ENGASE",853.769431264294,-2.37429828706815,0.603936457486007,-3.93137102030831,8.44628062192664e-05,0.000947190041173201,"ENGASE"
