"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COX6CP14",7.1982804319976,1.48690333620267,1.96594563642282,0.756329833671389,NA,NA
"COX6CP17",6.86527796379392,0.672604076179755,1.80824535414491,0.371965051445034,NA,NA
"COX6CP18",1.03701061132041,1.09529377808423,3.0420076066578,0.360056225923647,0.718805087051283,NA
"COX7BP2",1.28400664314403,1.9755205728151,3.02485217064176,0.653096568483204,0.513694024376751,NA
"CPA5",1.97066363152389,3.80547630961111,3.39089093766713,1.12226443715386,0.261750022145561,NA
"CPLX3",0.547320178880241,2.04710052210803,3.43070843855132,0.596699066322424,0.550708316087619,NA
"CPP",6.94824635576284,1.53389030444744,1.748636975375,0.877191964969453,NA,NA
"CRELD2",557.245847774718,0.97009845413069,0.695671378938631,1.39447803014513,NA,NA
"CROCCP4",1.658161330972,-3.97185935310168,3.30504342515212,-1.20175708520951,0.229457656822434,NA
"CRYGN",1.17292855096947,-2.73520611393006,3.40634535246356,-0.802973812373982,0.421989870952695,NA
"CSF3",0.906963858565645,-3.90681017382799,3.45214983922498,-1.13170353425478,0.257759095174468,NA
"CSKMT",1131.00005633227,1.6827241234783,1.4302641651176,1.17651281806388,NA,NA
"CSN2",15.4072999297422,-22.6768850222955,3.11772886661488,-7.27352697828317,NA,NA
"CSN3",6.75538829117665,-6.03862531034781,3.11749964687693,-1.93700914012844,NA,NA
"CT45A7",2.23294201880322,-5.17319478345654,3.41245916162093,-1.51597265738391,0.129526266403168,NA
"CTAGE11P",1.99524944436357,3.8742785831758,2.54625393796212,1.52156017332527,0.128119323146692,NA
"CTBP2P7",1.44714925670653,0.00815789438600367,2.44409542280752,0.00333779700656399,0.997336828246386,NA
"CTR9",6040.5266879913,3.4810339107569,1.02550570911433,3.3944559058216,NA,NA
"CTRB2",0.571645138143545,-1.70831777404413,3.4572633058782,-0.494124289330109,0.621218404890948,NA
"CTSV",59.8729728163793,1.55701615510033,0.844031815375602,1.84473633189698,NA,NA
"CTTNBP2",928.114392115181,-0.40840006792584,0.810590892303991,-0.503830072362422,NA,NA
"CTXND2",2.12414931727796,2.75316149916079,2.51715060631021,1.09376113302832,0.274059754562515,NA
"CUL1P1",0.612501940006543,1.56068045354054,3.42000672895813,0.456338416040482,0.648146643117336,NA
"CWH43",2.31244520772794,4.04233461241416,3.38824869715821,1.19304542662543,0.23285158271211,NA
"CYCSP1",1.66888377035904,0.170559030934997,3.34365363876986,0.051009778332706,0.959317728710866,NA
"CYCSP2",1.88967935730979,0.024953168989751,3.32893749775347,0.00749583583548524,0.994019244323946,NA
"CYCSP28",0.75565952044613,0.492897531143559,3.41245656624903,0.144440675382823,0.885152499243813,NA
"CYCSP34",7.4513749693083,0.679721418235672,1.74873506857157,0.388693193412592,NA,NA
"CYCSP8",8.26188546957192,-7.0628784627304,3.39129564272987,-2.08264899519201,NA,NA
"CYLC2",22.4282255932954,-0.827977387769144,1.4228412586463,-0.581918315017719,NA,NA
"CYP11B1",0.918275043578215,1.42701009605511,3.39838120185699,0.419908777530708,0.674552095298907,NA
